Partlist exported from C:/Users/Ben/Documents/Dropbox/Documents/UMD/R@M/RAM Tran Electronics_2016/qubo_electronics.git/Project QUBO/eagleDesigns/backplane/version2/backplane_v4.sch at Tue, 2/7/2017 3:39 PM

Part             Value                     Device                    Package             Description                                                                               MF MPN     OC_FARNELL OC_NEWARK
2PIN_1           CPU_USB_HUB               KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_2           CPU_USB_AHRS              KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_3           CPU_USB_IMU               KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_4           Magnetic Reed Switch plug KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_5           CPU_USB_DVL               KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_6           CPU_I2C_1                 KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_7           CPU_CAN                   KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
4PIN_1           CPU_RS232_MCU             KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_2           CPU_RS232_Flex            KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_3           CPU_PWR1                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_4           CPU_PWR2                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_5           CPU_GND1                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_6           CPU_GND2                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_7           CPU_SPI                   KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
5.0              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.1              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.2              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.3              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.4              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.5              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.6              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
5.7              M250_5PIN                 M250_5PIN                 M205_5PIN           5-pin Eurostyle Terminal Block                                                                                           
ACT-PWR_IN       SUPERSABRE_2CIRCUIT       SUPERSABRE_2CIRCUIT       SUPERSABRE_2CIRCUIT Molex SuperSabre                                                                                                         
ACT-PWR_OUT      SUPERSABRE_2CIRCUIT       SUPERSABRE_2CIRCUIT       SUPERSABRE_2CIRCUIT Molex SuperSabre                                                                                                         
BATTERY-MUX      PCA9546APW                PCA9546APW                TSSOP16             NXP 1:4 I2C Multiplexer                                                                                                  
C1               22p                       C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C2               22p                       C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C3               22p                       C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C4               100n                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C5               4.7u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C6               100n                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C7               100n                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C8               100n                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C9               4.7u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C10              100n                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C11              100n                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C16              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C17              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C18              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C19              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C20              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C26              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C27              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C28              4.7u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C29              0.1u                      C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C30              22p                       C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C31              22p                       C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
C32              22p                       C-USC0805                 C0805               CAPACITOR, American symbol                                                                                               
